study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	0.0	hr		0.0					IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	1.0	hr		1.99591750283377	1.36265096976764	0.6332665330661298	0.1001282305223651		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	1.5	hr		2.50889700422913	2.02793508038143	0.4809619238476998	0.0760467573587593		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	2.0	hr		2.6371162766881	2.14012228871215	0.4969939879759497	0.0785816492707169		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	3.0	hr		2.82941725495124	2.49274390825786	0.33667334669338	0.0532327301511299		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	4.0	hr		2.94956463449547	2.58083646968734	0.3687281648081302	0.0583010419123817		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	6.0	hr		2.47646978044358	1.97946648232585	0.4970032981177297	0.078583121333385		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	8.0	hr		2.05145249849292	1.56247454258109	0.4889779559118301	0.0773142033147389		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	10.0	hr		1.57835764444103	1.14547329269456	0.43288435174647	0.0684450257482166		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	12.0	hr		1.28158756537465	0.880785962168238	0.400801603206412	0.0633722977989653		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	18.0	hr		0.719971883371854	0.519552461485107	0.200419421886747	0.031689093024816		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	24.0	hr		0.591156761839591	0.422820088492898	0.168336673346693	0.0266163650755654		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	36.0	hr		0.181315010974329	0.0931386582689191	0.0881763527054099	0.0139419055157722		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	48.0	hr		0.116209189575434	0.0119914625999975	0.1042177269754364	0.0164782694903975		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	72.0	hr		0.0099804719776379	0.0099804719776379	0.0	0.0		IU/ml	IU/ml
Frost2015		young	40.0	API_20	Anti-factor Xa activity		plasma	coagulation assay	anti_Xa_young_API_20	96.0	hr		0.0320455079729731	0.0160134438447165	0.0160320641282566	0.0025348919119586		IU/ml	IU/ml
