study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	1.0	hr		0.0003989217129706616	269.812602902346	0.00018826567092998262	4.209748380290468e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	1.5	hr		0.0005159687637771622	336.777387040016	0.00021695264436215453	4.8512086069211314e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	2.0	hr		0.0005852553022207074	349.582502066879	0.00017553360325672256	3.9250506921751034e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	3.0	hr		0.0006927680075213144	384.056996417408	0.0001430470010040566	3.198628182225506e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	4.0	hr		0.0007166797679985463	376.190134093976	0.00010201475668910556	2.2811193066494235e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	6.0	hr		0.0004754800156795909	317.130370059804	0.00021468401056590206	4.80048041307641e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	8.0	hr		0.0003728161078982024	267.91531328244	0.00021024224527359305	4.7011595217393915e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	10.0	hr		0.00026538359535042223	205.900441169889	0.00018271312101495105	4.085589589705767e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	12.0	hr		0.00020571732321937236	166.534331402675	0.00015670777232507815	3.504092315214342e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	18.0	hr		0.00011509951252353036	95.6975925267281	9.316510668588881e-05	2.0832351168066746e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	24.0	hr		9.613965453343962e-05	76.065414683208	6.939987687724157e-05	1.5518284232762807e-05		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	36.0	hr		3.6722552741532536e-05	27.9389145760364	2.408030814211578e-05	5.384520592491252e-06		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	48.0	hr		2.9854616267176283e-05	21.1701483678127	1.6217523815114687e-05	3.6263485677318174e-06		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	72.0	hr		1.1341546471413994e-05	8.61411884970783	7.405175725991513e-06	1.6558476308648379e-06		mole/meter^3	ng/ml
Frost2015		elderly_male	20.0	API_20	concentration	apixaban	plasma	HPLC MS/MS	apixaban_elderly_male	96.0	hr		1.1942992117625223e-05	5.90597640341718	9.100577265906224e-07	2.0349509401055473e-07		mole/meter^3	ng/ml
