study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_sd	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_sd	y_unit	comments
Frost2013a		API10	6.0	API10	0.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.0		mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.12	0.2599999999999998	dimensionless	
Frost2013a		API10	6.0	API10	3.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.00038737758433079436	7.41240478781284e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.19	0.2299999999999999	dimensionless	
Frost2013a		API10	6.0	API10	6.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.00017207834602829162	4.544069640914039e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.22	0.1699999999999999	dimensionless	
Frost2013a		API10	6.0	API10	9.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.00010748639825897715	3.347116430903155e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.18	0.2299999999999999	dimensionless	
Frost2013a		API10	6.0	API10	12.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	3.799782372143635e-05	2.393906420021766e-06	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.12	0.2199999999999999	dimensionless	
Frost2013a		API10	6.0	API10	24.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	6.165397170837867e-05	1.912948857453754e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.1	0.1399999999999999	dimensionless	
Frost2013a		API10	6.0	API10	144.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.0002255930359085963	0.0	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.1	0.2799999999999998	dimensionless	
Frost2013a		API10	6.0	API10	147.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.0004312295973884657	5.7388465723612636e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.18	0.24	dimensionless	
Frost2013a		API10	6.0	API10	150.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.00021114254624591947	3.588683351468987e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.21	0.1600000000000001	dimensionless	
Frost2013a		API10	6.0	API10	153.0	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	0.00014176278563656148	5.9934711643090315e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.18	0.1300000000000001	dimensionless	
Frost2013a		API10	6.0	API10	168.15	hr	concentration	apixaban	plasma	LC MS/MS	apixaban_inr_mean_API10	6.269858541893363e-05	3.852013057671382e-05	mole/meter^3	inr		plasma	coagulation assay	inr_mean_API10	1.09		dimensionless	
