study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.0	hr		0.0					mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	0.5	hr		0.0001148861955532999	99.5272315775184	0.00010171278502889469	2.9361951908229445e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	1.0	hr		0.0002651284933164309	180.161720470245	0.00012695359693437437	3.664834668232613e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	2.0	hr		0.0004608679577442481	266.33342440035	0.0001187477645633689	3.427952691816367e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	3.0	hr		0.0005062783992071773	296.580691345288	0.0001391638017618934	4.017312920434044e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	4.0	hr		0.0004604862134389728	284.698342644011	0.00015909668676562138	4.592725746565454e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	6.0	hr		0.0003283945689712383	203.042412674321	0.0001134822812449119	3.2759512812501355e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	9.0	hr		0.00020183092114133949	128.209337577798	7.718831188977697e-05	2.228234632392777e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	12.0	hr		0.00013270158001999914	82.047791037966	4.585726881126527e-05	1.3237853246242519e-05		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	18.0	hr		6.136589034181741e-05	36.9316895985715	1.900775405115648e-05	5.487065959062697e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	24.0	hr		4.4890067306012616e-05	29.2954971668979	1.8865095189956696e-05	5.445883893104706e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	36.0	hr		1.646656065863306e-05	11.6528456382158	8.893277509410031e-06	2.567268082017963e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	48.0	hr		1.0086839395664114e-05	7.63507624984364	6.529213378750771e-06	1.884821550909132e-06		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	60.0	hr		6.346853850022481e-06	4.49099537485714	3.4268031137580192e-06	9.8923285009402e-07		mole/meter^3	ng/ml
Cui2013	API10	12.0	API10	concentration	apixaban	plasma	LC MS/MS	apixaban_API10	72.0	hr		4.3891174984159954e-06	3.10603469402817	2.3704792241697933e-06	6.842984090914227e-07		mole/meter^3	ng/ml
